


电视,#genre#

CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$1080P
CCTV4美洲,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw2087320283_-876815993/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426161100&ContentId=265667335&timezone=UTC&mtv_session=9de016f966bff8e72afcd5fccab460fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=79b8d51a3105d0beb31ae1f6db95827e
CCTV4欧洲,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw1798072077_1881739463/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426160611&ContentId=265667313&timezone=UTC&mtv_session=a1f0d3ea23dedcfb57026533e0f9fba7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=205e99763af1a2e155df364630a7b05a
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8


安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8






CCTV1,http://39.134.66.10/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.66.10/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.10/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.10/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.10/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.10/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.10/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.10/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.10/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.10/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.10/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.10/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.10/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.10/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.10/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.10/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.10/PLTV/88888888/224/3221225708/index.m3u8
东方卫视,http://39.134.66.166/PLTV/88888888/224/3221225672/index.m3u8
广东卫视,http://39.134.66.110/PLTV/88888888/224/3221225966/index.m3u8
贵州卫视,http://39.134.66.110/PLTV/88888888/224/3221225974/index.m3u8
河南卫视,http://39.134.66.110/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225985/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视,http://39.134.66.110/PLTV/88888888/224/3221225506/index.m3u8
吉林卫视,http://39.134.66.110/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://39.134.66.110/PLTV/88888888/224/3221225503/index.m3u8
深圳卫视,http://39.134.66.110/PLTV/88888888/224/3221225668/index.m3u8
天津卫视,http://39.134.66.166/PLTV/88888888/224/3221225665/index.m3u8
浙江卫视,http://39.134.66.2/PLTV/88888888/224/3221225514/index.m3u8
重庆卫视,http://39.134.66.110/PLTV/88888888/224/3221225963/index.m3u8








央视,#genre#

CCTV1,http://39.135.46.243:6610/PLTV/77777777/224/3221225654/index.m3u8?hls
CCTV1,http://39.135.46.243:6610/PLTV/77777777/224/3221225870/index.m3u8?hls
CCTV2,http://39.135.46.243:6610/PLTV/77777777/224/3221225657/index.m3u8?hls
CCTV2,http://39.135.46.243:6610/PLTV/77777777/224/3221225948/index.m3u8?hls
CCTV3,http://39.135.46.243:6610/PLTV/77777777/224/3221225713/index.m3u8?hls
CCTV3,http://39.135.46.243:6610/PLTV/77777777/224/3221225916/index.m3u8?hls
CCTV4,http://39.135.46.243:6610/PLTV/77777777/224/3221225761/index.m3u8?hls
CCTV4,http://39.135.46.243:6610/PLTV/77777777/224/3221225922/index.m3u8?hls
CCTV5,http://39.135.46.243:6610/PLTV/77777777/224/3221225660/index.m3u8?hls
CCTV5,http://39.135.46.243:6610/PLTV/77777777/224/3221225801/index.m3u8?hls
CCTV5+,http://39.135.46.243:6610/PLTV/77777777/224/3221225712/index.m3u8?hls
CCTV5+,http://39.135.46.243:6610/PLTV/77777777/224/3221225998/index.m3u8?hls
CCTV6,http://39.135.46.243:6610/PLTV/77777777/224/3221225715/index.m3u8?hls
CCTV6,http://39.135.46.243:6610/PLTV/77777777/224/3221225936/index.m3u8?hls
CCTV7,http://39.135.46.243:6610/PLTV/77777777/224/3221225700/index.m3u8?hls
CCTV7,http://39.135.46.243:6610/PLTV/77777777/224/3221225892/index.m3u8?hls
CCTV8,http://39.135.46.243:6610/PLTV/77777777/224/3221225716/index.m3u8?hls
CCTV8,http://39.135.46.243:6610/PLTV/77777777/224/3221226001/index.m3u8?hls
CCTV9,http://39.135.46.243:6610/PLTV/77777777/224/3221225663/index.m3u8?hls
CCTV9,http://39.135.46.243:6610/PLTV/77777777/224/3221225939/index.m3u8?hls
CCTV10,http://39.135.46.243:6610/PLTV/77777777/224/3221225704/index.m3u8?hls
CCTV10,http://39.135.46.243:6610/PLTV/77777777/224/3221226004/index.m3u8?hls
CCTV11,http://39.135.46.243:6610/PLTV/77777777/224/3221225739/index.m3u8?hls
CCTV11,http://39.135.46.243:6610/PLTV/77777777/224/3221225895/index.m3u8?hls
CCTV12,http://39.135.46.243:6610/PLTV/77777777/224/3221225645/index.m3u8?hls
CCTV12,http://39.135.46.243:6610/PLTV/77777777/224/3221226013/index.m3u8?hls
CCTV13,http://39.135.46.243:6610/PLTV/77777777/224/3221225742/index.m3u8?hls
CCTV13,http://39.135.46.243:6610/PLTV/77777777/224/3221225759/index.m3u8?hls
CCTV14,http://39.135.46.243:6610/PLTV/77777777/224/3221225648/index.m3u8?hls
CCTV14,http://39.135.46.243:6610/PLTV/77777777/224/3221225901/index.m3u8?hls
CCTV15,http://39.135.46.243:6610/PLTV/77777777/224/3221225693/index.m3u8?hls
CCTV15,http://39.135.46.243:6610/PLTV/77777777/224/3221225945/index.m3u8?hls
CCTV16,http://39.135.46.243:6610/PLTV/77777777/224/3221225937/index.m3u8?hls
CCTV16,http://39.135.46.243:6610/PLTV/77777777/224/3221225956/index.m3u8?hls
CCTV17,http://39.135.46.243:6610/PLTV/77777777/224/3221225766/index.m3u8?hls
CCTV17,http://39.135.46.243:6610/PLTV/77777777/224/3221225910/index.m3u8?hls



CCTV1,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001022/1.m3u8
CCTV2,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001220/1.m3u8
CCTV3,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001186/1.m3u8
CCTV4,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001221/1.m3u8
CCTV5,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001187/1.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001188/1.m3u8
CCTV7,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001236/1.m3u8
CCTV8,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001189/1.m3u8
CCTV9,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001237/1.m3u8
CCTV10,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001238/1.m3u8
CCTV11,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001309/1.m3u8
CCTV12,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001239/1.m3u8
CCTV13,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001328/1.m3u8
CCTV14,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001240/1.m3u8
CCTV15,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001338/1.m3u8
CCTV16,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001248/1.m3u8
CCTV17,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001241/1.m3u8



CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV3,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
